expr_idx,pl_idx,r_prec,dcg,idcg,ndcg,clicks
38,675,0.06504065040650407,1.7681983852956287,4.637999639320748,0.38124159611935365,0
39,584,0.0,0.0,1.0,0.0,10
40,484,0.18181818181818182,2.5034268821616514,4.304666305987414,0.5815611952730467,0
41,126,0.025,0.3866524112389434,2.0,0.1933262056194717,3
42,335,0.010752688172043012,0.1686130986895011,1.0,0.1686130986895011,6
43,384,0.06818181818181818,1.056207187108022,2.6309297535714578,0.40145776818032963,0
44,566,0.07692307692307693,2.2132926413860985,4.953464516106477,0.4468170982530407,0
45,883,0.0,0.0,1.0,0.0,10
46,355,0.05232558139534884,2.2592148930445264,4.953464516106477,0.4560878322028064,0
47,147,0.10526315789473684,2.7557458705471953,4.637999639320748,0.5941669005715542,0
48,744,0.11299435028248588,5.958960708241531,7.81259813322656,0.762737389870137,0
49,263,0.013513513513513514,0.20584683246043448,1.0,0.20584683246043448,2
50,868,0.046052631578947366,1.6183893248307353,4.304666305987414,0.37596162159647484,0
51,702,0.0625,1.0423521821750248,3.5616063116448506,0.29266350375868383,1
52,980,0.09655172413793103,3.6854219788283995,6.355389973203988,0.5798891955280663,0
53,974,0.058823529411764705,1.5101295557753915,2.6309297535714578,0.5739908310837291,0
54,794,0.1092436974789916,3.2609577132420027,6.0927404381667944,0.5352201930045081,0
55,48,0.06363636363636363,1.6650287389742788,4.304666305987414,0.3867962393875617,0
56,714,0.0,0.0,1.0,0.0,10
57,966,0.0,0.0,1.0,0.0,10
58,454,0.037037037037037035,0.4192800378688667,2.0,0.20964001893443335,1
59,878,0.04672897196261682,2.1309503864726134,3.5616063116448506,0.598311604375072,0
60,256,0.02127659574468085,0.9011679079987773,2.0,0.45058395399938866,0
61,873,0.21951219512195122,3.1608253051631343,6.355389973203988,0.497345610338628,0
62,866,0.034482758620689655,0.575691350085888,2.6309297535714578,0.21881669371992674,2
63,660,0.011363636363636364,0.18790182470910757,1.0,0.18790182470910757,3
64,231,0.0,0.0,1.0,0.0,10
65,60,0.0,0.3160290676439368,2.0,0.1580145338219684,6
66,332,0.0821256038647343,4.712102378219216,7.105998540132031,0.663116147802032,0
67,82,0.016853932584269662,0.7667227074441638,2.6309297535714578,0.2914265218990915,0
68,183,0.018867924528301886,0.3279777054072659,2.0,0.16398885270363295,6
69,375,0.0,0.16054408543402138,1.0,0.16054408543402138,7
70,239,0.13333333333333333,2.347114880005595,3.9484591188793923,0.5944381869836168,0
71,646,0.10526315789473684,1.4073894777947658,3.9484591188793923,0.35644017968057257,0
72,533,0.0,0.0,1.0,0.0,10
73,516,0.05555555555555555,2.813434325970633,4.953464516106477,0.567973045294377,0
74,163,0.25,4.435205969210088,4.953464516106477,0.8953745312576196,0
75,356,0.2903225806451613,3.5355498558565484,4.953464516106477,0.7137529388492646,0
76,951,0.08633093525179857,2.5041597644600095,5.822502283739475,0.43008308840915127,0
77,939,0.02702702702702703,0.496463376007677,2.6309297535714578,0.1887026346232671,4
78,815,0.017241379310344827,0.3602672876780383,2.0,0.18013364383901914,3
79,111,0.07692307692307693,1.0834890498042136,3.5616063116448506,0.304213592126028,0
80,308,0.01,0.20184908658209985,1.0,0.20184908658209985,3
81,437,0.0,0.0,1.0,0.0,10
82,928,0.0,0.0,1.0,0.0,10
83,929,0.02857142857142857,0.38685280723454163,1.0,0.38685280723454163,0
84,616,0.10204081632653061,2.8404385149899993,5.254494511770457,0.5405731243276031,0
85,296,0.03636363636363636,0.466267942666968,2.0,0.233133971333484,1
86,224,0.06299212598425197,1.3915610388559168,4.637999639320748,0.3000347449487331,3
87,380,0.047619047619047616,0.7890648263178879,2.0,0.39453241315894394,0
88,431,0.009615384615384616,0.31546487678572877,1.0,0.31546487678572877,0
89,986,0.0,0.20184908658209985,1.0,0.20184908658209985,3
90,637,0.20588235294117646,3.1519287557459794,6.0927404381667944,0.5173252968403728,0
91,286,0.07407407407407407,1.7371660959167532,4.304666305987414,0.4035541833987241,0
92,284,0.0,0.0,1.0,0.0,10
93,376,0.1282051282051282,2.3234804033620478,3.5616063116448506,0.6523686786395543,0
94,662,0.0,0.0,1.0,0.0,10
95,285,0.016,0.3242803407034306,2.0,0.1621401703517153,5
96,774,0.045454545454545456,0.5799729413151111,2.0,0.28998647065755556,0
97,863,0.058823529411764705,2.665848634740598,6.0927404381667944,0.43754508530199393,0
98,350,0.05813953488372093,2.1026063639434796,3.9484591188793923,0.5325131400981095,0
99,843,0.15151515151515152,3.7005128439335047,6.6113479980138035,0.5597213828473742,0
